Time [s],DIO1,DIO2,DIO3,DIO4,DIO5,DIO6,DIO7,DIO8,SRQ,NDAC,ATN,NRFD,DAV,EOI
0.000000000,1,1,1,1,1,1,0,1,1,1,1,1,1,1
4.073185188,1,1,1,1,1,1,0,0,1,1,1,1,1,1
4.073186188,1,1,1,1,1,0,0,0,1,1,1,1,1,1
4.073186250,1,1,1,1,1,1,0,0,1,1,1,1,1,1
4.073186312,1,1,1,1,1,0,0,0,1,1,1,1,1,1
4.073186375,1,1,1,1,1,1,0,0,1,1,1,1,1,1
4.073186438,1,1,1,1,1,0,0,0,1,1,1,1,1,1
4.073187875,0,1,1,1,0,0,0,0,1,1,1,1,1,1
4.073187938,1,1,1,1,1,0,0,0,1,1,1,1,1,1
4.073188250,1,1,1,1,0,0,0,0,1,1,1,1,1,1
4.073188313,1,1,1,1,1,0,0,0,1,1,1,1,1,1
4.073188500,1,1,1,1,0,0,0,0,1,1,1,1,1,1
4.073188625,1,1,1,1,1,0,0,0,1,1,1,1,1,1
4.073188750,1,1,1,1,0,0,0,0,1,1,1,1,1,1
4.073189688,0,1,1,1,0,0,0,0,1,1,1,1,1,1
4.073190125,0,1,1,0,0,0,0,0,1,1,1,1,1,1
4.073191000,0,1,0,0,0,0,0,0,1,1,1,1,1,1
4.073191625,0,0,0,0,0,0,0,0,1,1,1,1,1,1
4.073205438,0,0,0,0,0,0,0,0,0,1,1,1,1,1
4.073205500,0,0,0,0,0,0,0,0,1,1,1,1,1,1
4.073206375,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4.073206500,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4.073206563,0,0,0,0,0,0,0,0,1,1,1,1,1,1
4.073206750,0,0,0,0,0,0,0,0,0,0,1,0,1,1
4.073206812,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4.073207375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.078631312,1,0,1,1,1,0,0,0,0,0,0,0,0,0
4.078631375,1,1,1,1,1,0,0,0,0,0,0,0,0,0
4.078631438,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4.078631500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.078632687,1,0,0,1,1,0,0,0,0,0,0,0,0,0
4.078632750,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.078638188,1,0,1,1,1,0,0,0,0,0,0,0,0,0
4.078638250,1,1,1,1,1,0,0,0,0,0,0,0,0,0
4.078638375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.078648375,1,1,1,1,1,0,0,0,0,0,0,0,0,0
4.078648438,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.078664125,1,1,1,1,1,0,0,0,0,0,0,0,0,0
4.078664188,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.078664500,1,0,0,0,1,0,0,0,0,0,0,0,0,0
4.078664563,0,0,0,0,0,0,0,0,0,0,0,0,0,0
