vklachkov@mfp3000bot:~ $ sudo ./blackgpib
2337ms GPIB: ATN=0 EOI=0 BYTE=0x14


17129ms GPIB: ATN=0 EOI=0 BYTE=0x24
17131ms GPIB: ATN=0 EOI=0 BYTE=0x1
17133ms GPIB: ATN=0 EOI=0 BYTE=0x0
17135ms GPIB: ATN=0 EOI=0 BYTE=0x0
17137ms GPIB: ATN=0 EOI=0 BYTE=0x0
17139ms GPIB: ATN=0 EOI=0 BYTE=0x0
17140ms GPIB: ATN=0 EOI=0 BYTE=0x0
17142ms GPIB: ATN=0 EOI=0 BYTE=0x0
17144ms GPIB: ATN=0 EOI=0 BYTE=0x34
17146ms GPIB: ATN=0 EOI=0 BYTE=0x0
17148ms GPIB: ATN=0 EOI=0 BYTE=0x3f
17151ms GPIB: ATN=0 EOI=0 BYTE=0x44


22284ms GPIB: ATN=0 EOI=0 BYTE=0x5f
22286ms GPIB: ATN=0 EOI=0 BYTE=0x14
22825ms GPIB: ATN=0 EOI=0 BYTE=0x24
22827ms GPIB: ATN=0 EOI=0 BYTE=0x4
23375ms GPIB: ATN=0 EOI=0 BYTE=0x25
23376ms GPIB: ATN=0 EOI=0 BYTE=0x1
23378ms GPIB: ATN=0 EOI=0 BYTE=0x0
23380ms GPIB: ATN=0 EOI=0 BYTE=0x0
23382ms GPIB: ATN=0 EOI=0 BYTE=0x0
23384ms GPIB: ATN=0 EOI=0 BYTE=0x0
23386ms GPIB: ATN=0 EOI=0 BYTE=0x0
23387ms GPIB: ATN=0 EOI=0 BYTE=0x0
23389ms GPIB: ATN=0 EOI=0 BYTE=0x34
23391ms GPIB: ATN=0 EOI=0 BYTE=0x0
23393ms GPIB: ATN=0 EOI=0 BYTE=0x3f
23396ms GPIB: ATN=0 EOI=0 BYTE=0x45


29167ms GPIB: ATN=0 EOI=0 BYTE=0x14
29704ms GPIB: ATN=0 EOI=0 BYTE=0x25
29706ms GPIB: ATN=0 EOI=0 BYTE=0x4
30254ms GPIB: ATN=0 EOI=0 BYTE=0x26
30255ms GPIB: ATN=0 EOI=0 BYTE=0x1
30257ms GPIB: ATN=0 EOI=0 BYTE=0x0
30259ms GPIB: ATN=0 EOI=0 BYTE=0x0
30261ms GPIB: ATN=0 EOI=0 BYTE=0x0
30263ms GPIB: ATN=0 EOI=0 BYTE=0x0
30265ms GPIB: ATN=0 EOI=0 BYTE=0x0
30266ms GPIB: ATN=0 EOI=0 BYTE=0x0
30268ms GPIB: ATN=0 EOI=0 BYTE=0x34
30270ms GPIB: ATN=0 EOI=0 BYTE=0x0
30272ms GPIB: ATN=0 EOI=0 BYTE=0x3f
30275ms GPIB: ATN=0 EOI=0 BYTE=0x46


36037ms GPIB: ATN=0 EOI=0 BYTE=0x14
36567ms GPIB: ATN=0 EOI=0 BYTE=0x26
36568ms GPIB: ATN=0 EOI=0 BYTE=0x4
37116ms GPIB: ATN=0 EOI=0 BYTE=0x2c
37118ms GPIB: ATN=0 EOI=0 BYTE=0x1
37119ms GPIB: ATN=0 EOI=0 BYTE=0x0
37121ms GPIB: ATN=0 EOI=0 BYTE=0x0
37123ms GPIB: ATN=0 EOI=0 BYTE=0x0
37125ms GPIB: ATN=0 EOI=0 BYTE=0x0
37127ms GPIB: ATN=0 EOI=0 BYTE=0x0
37129ms GPIB: ATN=0 EOI=0 BYTE=0x0
37130ms GPIB: ATN=0 EOI=0 BYTE=0x34
37132ms GPIB: ATN=0 EOI=0 BYTE=0x0
37134ms GPIB: ATN=0 EOI=0 BYTE=0x3f
37137ms GPIB: ATN=0 EOI=0 BYTE=0x4c


42907ms GPIB: ATN=0 EOI=0 BYTE=0x14
43446ms GPIB: ATN=0 EOI=0 BYTE=0x2c
43447ms GPIB: ATN=0 EOI=0 BYTE=0x4
43995ms GPIB: ATN=0 EOI=0 BYTE=0x2d
43997ms GPIB: ATN=0 EOI=0 BYTE=0x1
43999ms GPIB: ATN=0 EOI=0 BYTE=0x0
44000ms GPIB: ATN=0 EOI=0 BYTE=0x0
44002ms GPIB: ATN=0 EOI=0 BYTE=0x0
44004ms GPIB: ATN=0 EOI=0 BYTE=0x0
44006ms GPIB: ATN=0 EOI=0 BYTE=0x0
44008ms GPIB: ATN=0 EOI=0 BYTE=0x0
44010ms GPIB: ATN=0 EOI=0 BYTE=0x34
44011ms GPIB: ATN=0 EOI=0 BYTE=0x0
44014ms GPIB: ATN=0 EOI=0 BYTE=0x3f
44017ms GPIB: ATN=0 EOI=0 BYTE=0x4d


49778ms GPIB: ATN=0 EOI=0 BYTE=0x14
50308ms GPIB: ATN=0 EOI=0 BYTE=0x2d
50310ms GPIB: ATN=0 EOI=0 BYTE=0x4
