Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,SRQ,NDAC,ATN,NRFD,DAV,EOI
0.000000000,1,1,1,1,1,1,1,1,1,0,1,1,1,1
2.546469563,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.702284688,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2.702284750,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.702295813,1,1,0,0,1,1,0,0,0,1,0,1,1,1
2.702295875,1,1,1,1,1,1,1,1,1,1,0,1,1,1
2.702295938,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.702304563,1,1,1,1,1,1,1,1,1,1,0,1,1,1
2.702305125,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.702305187,1,1,1,1,1,1,1,1,1,1,0,1,1,1
2.702319625,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.944764312,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2.944764437,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.944765125,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2.944765187,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.944766062,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2.944767375,1,1,1,1,1,0,1,0,1,1,1,1,1,1
2.944768187,1,1,1,1,1,0,0,0,1,1,1,1,1,1
2.944769875,1,1,1,1,0,0,0,0,1,1,1,1,1,1
2.944770937,0,1,1,1,0,0,0,0,1,1,1,1,1,1
2.944771000,1,1,1,1,0,0,0,0,1,1,1,1,1,1
2.944771125,0,1,1,1,0,0,0,0,1,1,1,1,1,1
2.944771625,0,1,1,0,0,0,0,0,1,1,1,1,1,1
2.944772438,0,1,0,0,0,0,0,0,1,1,1,1,1,1
2.944773000,0,0,0,0,0,0,0,0,1,1,1,1,1,1
2.944786312,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.944786375,0,0,0,0,0,0,0,0,1,1,1,1,1,1
2.944786437,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2.944786500,0,0,0,0,0,0,0,0,1,1,1,1,1,1
2.944786937,0,0,0,0,0,0,0,0,1,0,1,1,1,1
2.944787000,0,0,0,0,0,0,0,0,1,1,1,1,1,1
2.944787063,0,0,0,0,0,0,0,0,1,0,1,1,1,1
2.944787187,0,0,0,0,0,0,0,0,1,0,1,1,1,0
2.944787250,0,0,0,0,0,0,0,0,1,0,1,0,1,0
2.944787312,0,0,0,0,0,0,0,0,1,0,1,1,1,1
2.944787375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.944787438,0,0,0,0,0,0,0,0,1,0,1,1,1,1
2.944787500,0,0,0,0,0,0,0,0,1,0,1,1,1,0
2.944787563,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2.944787625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.944787687,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.944787750,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.949871375,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.949871438,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.949904375,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.949904562,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.949904750,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.949904875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.949905125,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.949905250,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.949905438,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.949905500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.949905812,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.949905875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.949919625,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.949919687,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.949920937,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.949921063,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.949921250,0,0,0,0,0,0,0,0,1,0,0,0,0,0
