Time [s],DIO1,DIO2,DIO3,DIO4,DIO5,DIO6,DIO7,DIO8,SRQ,NDAC,ATN,NRFD,DAV,EOI
0.000000000,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.000105438,1,1,1,1,1,1,0,1,1,0,1,1,1,0
0.000105500,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.000105562,1,1,1,1,1,1,0,1,1,0,1,1,1,0
0.000105625,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.000195875,1,1,1,1,1,1,0,1,1,0,1,1,1,0
0.000195938,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.000201437,1,1,1,1,1,1,0,1,1,0,1,1,1,0
0.000201500,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.000259875,1,1,1,1,1,1,0,1,1,0,1,1,1,0
0.000259938,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.000265437,1,1,1,1,1,1,0,1,1,0,1,1,1,0
0.000265500,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.000297562,1,1,1,1,1,1,0,1,1,0,1,1,1,0
0.000297625,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.000393438,1,1,1,1,1,1,0,1,1,0,1,1,1,0
0.000393500,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.000393562,1,1,1,1,1,1,0,1,1,0,1,1,1,0
0.000393625,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.000489437,1,1,1,1,1,1,0,1,1,0,1,1,1,0
0.000489500,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.000585438,1,1,1,1,1,1,0,1,1,0,1,1,1,0
0.000585500,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.000585563,1,1,1,1,1,1,0,1,1,0,1,1,1,0
0.000585625,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.000611875,1,1,1,1,1,1,0,1,1,0,1,1,1,0
0.000611938,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.000713563,1,1,1,1,1,1,0,1,1,0,1,1,1,0
0.000713625,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.000747875,1,1,1,1,1,1,0,1,1,0,1,1,1,0
0.000747938,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.000841562,1,1,1,1,1,1,0,1,1,0,1,1,1,0
0.000841625,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.000963875,1,1,1,1,1,1,0,1,1,0,1,1,1,0
0.000963938,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.001033438,1,1,1,1,1,1,0,1,1,0,1,1,1,0
0.001033500,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.001033562,1,1,1,1,1,1,0,1,1,0,1,1,1,0
0.001033625,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.001225437,1,1,1,1,1,1,0,1,1,0,1,1,1,0
0.001225500,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.001259875,1,1,1,1,1,1,0,1,1,0,1,1,1,0
0.001259937,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.001411875,1,1,1,1,1,1,0,1,1,0,1,1,1,0
0.001411937,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.001417562,1,1,1,1,1,1,0,1,1,0,1,1,1,0
0.001417625,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.001545437,1,1,1,1,1,1,0,1,1,0,1,1,1,0
0.001545500,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.001545562,1,1,1,1,1,1,0,1,1,0,1,1,1,0
0.001545625,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.001702687,1,1,1,1,1,1,0,1,1,0,1,1,0,1
0.001702750,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.001702812,1,1,1,1,1,1,0,1,1,0,1,1,0,1
0.001702875,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.001705563,1,1,1,1,1,1,0,1,1,0,1,1,1,0
0.001705625,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.001766688,1,1,1,1,1,1,0,1,1,0,1,1,0,1
0.001766750,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.001766812,1,1,1,1,1,1,0,1,1,0,1,1,0,1
0.001766875,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.001829312,1,1,1,1,1,1,0,1,0,0,1,1,0,1
0.001829375,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.001833562,1,1,1,1,1,1,0,1,1,0,1,1,1,0
0.001833625,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.001929563,1,1,1,1,1,1,0,1,1,0,1,1,1,0
0.001929625,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.001961438,1,1,1,1,1,1,0,1,1,0,1,1,1,0
0.001961500,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.002025437,1,1,1,1,1,1,0,1,1,0,1,1,1,0
0.002025500,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.002027875,1,1,1,1,1,1,0,1,1,0,1,1,1,0
0.002027937,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.002057437,1,1,1,1,1,1,0,1,1,0,1,1,1,0
0.002057500,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.002057562,1,1,1,1,1,1,0,1,1,0,1,1,1,0
0.002057625,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.002153437,1,1,1,1,1,1,0,1,1,0,1,1,1,0
0.002153500,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.002217562,1,1,1,1,1,1,0,1,1,0,1,1,1,0
0.002217625,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.002281438,1,1,1,1,1,1,0,1,1,0,1,1,1,0
0.002281500,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.002281563,1,1,1,1,1,1,0,1,1,0,1,1,1,0
0.002281625,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.002345437,1,1,1,1,1,1,0,1,1,0,1,1,1,0
0.002345500,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.002345562,1,1,1,1,1,1,0,1,1,0,1,1,1,0
0.002345625,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.002377562,1,1,1,1,1,1,0,1,1,0,1,1,1,0
0.002377625,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.002467875,1,1,1,1,1,1,0,1,1,0,1,1,1,0
0.002467938,1,1,1,1,1,1,0,1,1,0,1,1,1,1
0.002470812,1,1,1,1,1,1,0,1,0,0,1,1,0,1
