Time [s],DIO1,DIO2,DIO3,DIO4,DIO5,DIO6,DIO7,DIO8,SRQ,NDAC,ATN,NRFD,DAV,EOI
0.000000000,1,1,1,1,1,1,1,1,1,0,1,1,1,1
2.275759187,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.275759563,1,1,1,1,1,1,1,1,1,0,1,1,1,1
2.275759687,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.275761312,1,1,1,1,1,1,1,1,1,0,1,1,1,1
2.275761375,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.594917437,1,1,0,0,1,0,1,1,1,1,1,1,1,1
2.594917500,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.594926375,0,0,0,0,0,1,0,0,0,0,0,1,1,1
2.594926437,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.594929062,1,1,1,1,1,1,1,1,1,1,0,1,1,1
2.594939500,1,1,1,1,1,1,1,1,1,0,0,1,1,1
2.594939563,1,1,1,1,1,1,1,1,0,0,0,1,1,1
2.594939688,1,1,1,1,1,1,1,1,1,0,0,1,1,1
2.594953750,1,1,1,1,1,1,1,1,1,0,1,1,1,1
2.594982438,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.594982500,1,1,1,1,1,1,1,1,1,0,1,1,1,1
2.594984500,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.594997188,1,1,1,1,1,1,1,1,1,1,0,1,1,1
2.595002250,1,1,1,1,1,1,1,1,0,0,0,1,1,1
2.595002313,1,1,1,1,1,1,1,1,1,0,0,1,1,1
2.595013687,1,1,1,1,1,1,1,1,1,0,1,1,1,1
2.595013750,1,1,1,1,1,1,1,1,1,0,0,1,1,1
2.595014375,1,1,1,1,1,1,1,1,1,0,1,1,1,1
2.595014500,1,1,1,1,1,1,1,1,1,0,0,1,1,1
2.595014625,1,1,1,1,1,1,1,1,1,0,1,1,1,1
2.595014813,1,1,1,1,1,1,1,1,1,0,0,1,1,1
2.595014875,1,1,1,1,1,1,1,1,1,0,1,1,1,1
2.595020687,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.595064938,1,1,1,1,1,1,1,1,1,1,0,1,1,1
2.595073125,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.823998187,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2.823998250,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.823998312,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2.823998375,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.823998437,1,1,1,1,1,0,0,0,1,1,1,1,1,1
2.823998500,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.823998562,1,1,1,1,0,0,0,0,1,1,1,1,1,1
2.823998625,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.823998688,1,1,1,1,1,0,1,0,1,1,1,1,1,1
2.823998750,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.823998813,1,1,1,1,0,0,0,0,1,1,1,1,1,1
2.823998875,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.823999000,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2.823999062,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.823999125,1,1,1,1,1,0,0,0,1,1,1,1,1,1
2.823999188,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2.823999250,1,1,1,1,1,0,0,0,1,1,1,1,1,1
2.823999312,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.823999375,1,1,1,1,1,0,1,0,1,1,1,1,1,1
2.823999437,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2.823999500,1,1,1,1,1,0,0,0,1,1,1,1,1,1
2.823999563,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2.823999750,1,1,1,1,1,0,0,0,1,1,1,1,1,1
2.823999812,1,1,1,1,1,0,1,0,1,1,1,1,1,1
2.823999875,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2.823999938,1,1,1,1,1,0,1,0,1,1,1,1,1,1
2.824000125,1,1,1,1,1,0,0,0,1,1,1,1,1,1
2.824000187,1,1,1,1,1,0,1,0,1,1,1,1,1,1
2.824000375,1,1,1,1,1,0,0,0,1,1,1,1,1,1
2.824000438,1,1,1,1,1,0,1,0,1,1,1,1,1,1
2.824000500,1,1,1,1,1,0,0,0,1,1,1,1,1,1
2.824001562,1,1,1,1,0,0,0,0,1,1,1,1,1,1
2.824001625,1,1,1,1,1,0,0,0,1,1,1,1,1,1
2.824001875,1,1,1,1,0,0,0,0,1,1,1,1,1,1
2.824001937,1,1,1,1,1,0,0,0,1,1,1,1,1,1
2.824002000,1,1,1,1,0,0,0,0,1,1,1,1,1,1
2.824003187,0,1,1,1,0,0,0,0,1,1,1,1,1,1
2.824003375,0,1,1,0,0,0,0,0,1,1,1,1,1,1
2.824003438,0,1,1,1,0,0,0,0,1,1,1,1,1,1
2.824003812,0,1,1,0,0,0,0,0,1,1,1,1,1,1
2.824004375,0,1,0,0,0,0,0,0,1,1,1,1,1,1
2.824004500,0,1,1,0,0,0,0,0,1,1,1,1,1,1
2.824004562,0,1,0,0,0,0,0,0,1,1,1,1,1,1
2.824004813,0,0,0,0,0,0,0,0,1,1,1,1,1,1
2.824005000,0,1,1,1,0,0,0,0,1,1,1,1,1,1
2.824005062,1,1,1,1,1,0,0,0,1,1,1,1,1,1
2.824005125,0,1,1,0,0,0,0,0,1,1,1,1,1,1
2.824005188,0,0,0,0,0,0,0,0,1,1,1,1,1,1
2.824005875,0,1,0,0,0,0,0,0,1,1,1,1,1,1
2.824006000,0,1,1,0,0,0,0,0,1,1,1,1,1,1
2.824006063,0,0,0,0,0,0,0,0,1,1,1,1,1,1
2.824014750,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2.824014813,0,0,0,0,0,0,0,0,1,1,1,1,1,1
2.824017875,0,0,0,0,0,0,0,0,1,0,1,1,1,1
2.824018188,0,0,0,0,0,0,0,0,1,0,1,0,1,1
2.824018250,0,0,0,0,0,0,0,0,1,0,1,1,1,1
2.824018375,0,0,0,0,0,0,0,0,1,0,1,0,1,1
2.824018437,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2.824018688,0,0,0,0,0,0,0,0,1,0,1,0,1,1
2.824018750,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2.824019000,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2.824019500,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2.824019563,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2.824021437,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.824021500,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2.824021563,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.829793688,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.829793750,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830009937,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.830010000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830019000,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.830019062,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830019125,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.830019188,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830019562,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.830019625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830035437,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830035500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830035562,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.830035625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830035688,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830035750,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830051937,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.830052000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830052375,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830052438,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830055312,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.830055437,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830068750,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830068812,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830071000,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.830071063,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830091187,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830091250,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830094312,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830094375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830101125,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.830101187,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830101250,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.830101313,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830111625,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830111688,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830114062,1,0,0,1,1,0,0,0,1,0,0,0,0,0
2.830114125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830116250,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.830116312,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830117375,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.830117438,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830117500,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.830117562,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830117625,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.830117688,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830117813,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2.830117875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830117937,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.830118000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830124937,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830125000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830131750,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.830131812,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2.830131875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830133750,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.830133813,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830133875,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.830133937,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830134188,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.830134250,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830134312,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.830134375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830135438,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830135500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830135813,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830135875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830137812,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830137875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830141063,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830141125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830142000,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.830142063,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830142562,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830142625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830143562,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830143625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830145063,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2.830145125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830145687,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.830145750,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830146437,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830146500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830146562,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830146625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830148000,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2.830148125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830148250,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.830148312,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830148438,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2.830148500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830149062,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830149125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830149313,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2.830149375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830149500,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830149562,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830149625,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830149688,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830149750,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830149813,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830150125,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.830150188,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2.830150250,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.830150375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830150437,1,1,1,1,1,0,0,0,1,0,0,0,0,0
2.830150500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830150563,1,1,0,1,1,0,0,0,1,0,0,0,0,0
2.830150625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830150688,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830150750,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830150875,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.830150938,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830151000,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.830151063,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830151312,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830151375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830152187,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830152250,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830152375,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2.830152437,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830153437,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.830153500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830153563,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830153625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830155750,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2.830155813,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830157187,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.830157250,1,0,0,1,1,0,0,0,1,0,0,0,0,0
2.830157312,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830157750,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2.830157812,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830158375,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2.830158438,1,0,0,1,1,0,0,0,1,0,0,0,0,0
2.830158500,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.830158562,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2.830158687,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830159313,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830159375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830159875,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830159937,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830162250,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2.830162313,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830162375,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830162500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830165500,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830165562,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830166500,1,0,0,1,1,0,0,0,1,0,0,0,0,0
2.830166563,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830166625,1,0,0,1,1,0,0,0,1,0,0,0,0,0
2.830166687,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830166938,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.830167000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830167063,1,1,1,1,1,0,0,0,1,0,0,0,0,0
2.830167125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830167187,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.830167250,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2.830167375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.830167813,1,0,0,0,1,0,0,0,1,0,0,0,0,0
