Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,SRQ,NDAC,ATN,NRFD,DAV,EOI
0.000000000,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.568835375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.568835438,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.568879562,1,1,1,1,1,1,1,1,1,1,0,1,1,1
2.568901500,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.568950500,1,1,1,1,1,1,1,1,1,1,0,1,1,1
2.568960188,1,1,1,1,1,1,1,1,1,0,0,1,1,1
2.568965438,1,1,1,1,1,1,1,1,1,0,1,1,1,1
2.569004313,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.802840125,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2.802841125,1,1,1,1,1,0,1,0,1,1,1,1,1,1
2.802841187,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2.802841250,1,1,1,1,1,0,0,0,1,1,1,1,1,1
2.802841313,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.802841375,1,1,1,1,1,0,1,0,1,1,1,1,1,1
2.802841438,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2.802841562,1,1,1,1,1,0,1,0,1,1,1,1,1,1
2.802841625,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2.802841687,1,1,1,1,1,0,1,0,1,1,1,1,1,1
2.802841750,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2.802841813,1,1,1,1,1,0,1,0,1,1,1,1,1,1
2.802841875,1,1,1,1,1,0,0,0,1,1,1,1,1,1
2.802841938,1,1,1,1,1,0,1,0,1,1,1,1,1,1
2.802842313,1,1,1,1,1,0,0,0,1,1,1,1,1,1
2.802842375,1,1,1,1,1,0,1,0,1,1,1,1,1,1
2.802842437,1,1,1,1,1,0,0,0,1,1,1,1,1,1
2.802843938,1,1,1,1,0,0,0,0,1,1,1,1,1,1
2.802844063,1,1,1,1,1,0,0,0,1,1,1,1,1,1
2.802844125,1,1,1,1,0,0,0,0,1,1,1,1,1,1
2.802844187,0,1,1,1,0,0,0,0,1,1,1,1,1,1
2.802844250,1,1,1,1,0,0,0,0,1,1,1,1,1,1
2.802844312,1,1,1,1,1,0,0,0,1,1,1,1,1,1
2.802844375,1,1,1,1,0,0,0,0,1,1,1,1,1,1
2.802845000,0,1,1,1,0,0,0,0,1,1,1,1,1,1
2.802845062,1,1,1,1,0,0,0,0,1,1,1,1,1,1
2.802845125,0,1,1,1,0,0,0,0,1,1,1,1,1,1
2.802845500,0,1,1,0,0,0,0,0,1,1,1,1,1,1
2.802845562,0,1,1,1,0,0,0,0,1,1,1,1,1,1
2.802845625,0,1,1,0,0,0,0,0,1,1,1,1,1,1
2.802846312,0,1,0,0,0,0,0,0,1,1,1,1,1,1
2.802846688,0,0,0,0,0,0,0,0,1,1,1,1,1,1
2.802846750,0,1,0,0,0,0,0,0,1,1,1,1,1,1
2.802846812,0,0,0,0,0,0,0,0,1,1,1,1,1,1
2.802858437,0,0,0,0,0,0,0,0,1,1,1,1,0,1
2.802858500,0,0,0,0,0,0,0,0,1,1,1,1,1,1
2.802859250,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2.802859312,0,0,0,0,0,0,0,0,1,1,1,1,1,1
2.802859375,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2.802859437,0,0,0,0,0,0,0,0,1,1,1,1,1,1
2.802859500,0,0,0,0,0,0,0,0,1,0,1,1,1,1
2.802859812,0,0,0,0,0,0,0,0,1,0,1,0,1,1
2.802859875,0,0,0,0,0,0,0,0,1,0,1,1,1,1
2.802860187,0,0,0,0,0,0,0,0,1,0,1,0,1,0
2.802860250,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2.802860313,0,0,0,0,0,0,0,0,1,0,1,0,1,1
2.802860375,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2.802860687,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2.802860813,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2.802860875,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2.802862437,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808637188,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.808637250,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808638312,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.808638500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808639000,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.808639063,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808654875,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.808654938,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808669937,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.808670000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808670250,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.808670312,1,1,1,1,1,0,0,0,1,0,0,0,0,0
2.808670375,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.808670438,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808670625,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.808670687,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808671375,1,1,1,1,1,1,1,1,1,0,0,0,0,0
2.808671438,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2.808671500,1,1,1,1,1,1,1,1,1,0,0,0,0,0
2.808671562,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808671813,1,0,0,1,1,0,0,0,1,0,0,0,0,0
2.808671875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808672000,1,1,1,1,1,0,0,0,1,0,0,0,0,0
2.808672062,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808686500,1,1,1,1,1,0,0,0,1,0,0,0,0,0
2.808686563,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808686812,1,1,1,1,1,1,0,0,1,0,0,0,0,0
2.808686875,1,1,1,1,1,0,0,0,1,0,0,0,0,0
2.808686938,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808687937,1,1,1,1,1,1,1,1,1,0,0,0,0,0
2.808688000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808688062,1,1,1,1,1,1,1,1,1,0,0,0,0,0
2.808688125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808688313,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.808688375,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.808688437,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808688562,1,1,1,1,1,0,0,0,1,0,0,0,0,0
2.808688625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808703062,1,1,1,1,1,0,0,0,1,0,0,0,0,0
2.808703125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808703375,1,1,1,1,1,1,0,0,1,0,0,0,0,0
2.808703438,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2.808703500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808704500,1,1,1,1,1,1,1,1,1,0,0,0,0,0
2.808704563,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808704875,1,1,1,1,1,0,0,0,1,0,0,0,0,0
2.808704937,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808705125,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2.808705188,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808719625,1,1,1,1,1,0,0,0,1,0,0,0,0,0
2.808719688,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808719875,1,1,1,1,1,0,0,0,1,0,0,0,0,0
2.808720000,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808720062,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808721000,1,1,1,1,1,1,1,1,1,0,0,0,0,0
2.808721063,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808721125,1,1,1,1,1,1,0,0,1,0,0,0,0,0
2.808721188,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808721375,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.808721438,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.808721500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808721625,1,1,1,1,1,0,0,0,1,0,0,0,0,0
2.808721687,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808736125,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.808736188,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808736437,1,1,1,1,1,0,0,0,1,0,0,0,0,0
2.808736563,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808737563,1,1,1,1,1,1,1,1,1,0,0,0,0,0
2.808737625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808737687,1,1,1,1,1,0,0,0,1,0,0,0,0,0
2.808737750,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808737938,1,1,1,1,1,0,0,0,1,0,0,0,0,0
2.808738000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808738125,1,1,1,1,1,0,0,0,1,0,0,0,0,0
2.808738187,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808752688,1,1,1,1,1,0,0,0,1,0,0,0,0,0
2.808752750,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808753000,1,1,1,1,1,0,0,0,1,0,0,0,0,0
2.808753063,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2.808753125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808754062,1,1,1,1,1,1,1,1,1,0,0,0,0,0
2.808754125,1,1,1,1,1,0,0,0,1,0,0,0,0,0
2.808754187,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2.808754250,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808754500,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.808754562,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808754688,1,1,1,1,1,0,0,0,1,0,0,0,0,0
2.808754750,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808769250,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.808769312,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808769500,1,1,1,1,1,0,0,0,1,0,0,0,0,0
2.808769563,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.808769625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808770625,1,1,1,1,1,1,1,1,1,0,0,0,0,0
2.808770688,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808770750,1,1,1,1,1,0,0,0,1,0,0,0,0,0
2.808770813,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808771000,1,0,0,1,1,0,0,0,1,0,0,0,0,0
2.808771062,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808771250,1,0,1,1,1,0,0,0,1,0,0,0,0,0
2.808771312,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808771437,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808771500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808785687,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.808785750,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808785938,1,1,1,1,1,0,0,0,1,0,0,0,0,0
2.808786000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808787000,1,1,1,1,1,1,1,1,1,0,0,0,0,0
2.808787062,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808787125,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.808787188,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808787625,1,1,1,1,1,0,0,0,1,0,0,0,0,0
2.808787688,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808802125,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808802187,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808802375,1,0,0,1,1,0,0,0,1,0,0,0,0,0
2.808802437,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808803437,1,1,1,1,1,1,1,1,1,0,0,0,0,0
2.808803500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808803563,1,1,1,1,1,0,0,0,1,0,0,0,0,0
2.808803625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808803812,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.808803875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808804000,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.808804063,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2.808804125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808818562,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.808818625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808818813,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.808818875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808819875,1,1,1,1,1,1,1,1,1,0,0,0,0,0
2.808819938,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808820125,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.808820187,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808836312,1,1,1,1,1,0,0,0,1,0,0,0,0,0
2.808836375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808836438,1,1,1,1,1,0,0,0,1,0,0,0,0,0
2.808836500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808836562,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.808836625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808836750,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.808836813,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808836875,1,1,0,1,1,0,0,0,1,0,0,0,0,0
2.808836938,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808852687,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.808852750,1,0,0,1,1,0,0,0,1,0,0,0,0,0
2.808852813,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808852875,1,1,1,1,1,0,0,0,1,0,0,0,0,0
2.808852938,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808853000,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.808853062,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808853313,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.808853375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808855875,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.808855938,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808869125,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.808869188,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808885250,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.808885313,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808885625,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.808885688,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808886063,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2.808886125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808902000,1,1,1,1,1,0,0,0,1,0,0,0,0,0
2.808902063,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.808902125,1,0,0,0,1,0,0,0,1,0,0,0,0,0
