Time [s],DIO1,DIO2,DIO3,DIO4,DIO5,DIO6,DIO7,DIO8,SRQ,NDAC,ATN,NRFD,DAV,EOI
0.000000000,1,1,1,1,1,1,0,1,1,1,1,1,1,1
4.499447500,1,1,1,1,1,1,0,0,1,1,1,1,1,1
4.499447563,1,1,1,1,1,1,0,1,1,1,1,1,1,1
4.499447625,1,1,1,1,1,1,0,0,1,1,1,1,1,1
4.499448750,1,1,1,1,1,0,0,0,1,1,1,1,1,1
4.499449000,1,1,1,1,1,1,0,0,1,1,1,1,1,1
4.499449063,1,1,1,1,0,0,0,0,1,1,1,1,1,1
4.499449125,1,1,1,1,1,0,0,0,1,1,1,1,1,1
4.499451125,1,1,1,1,0,0,0,0,1,1,1,1,1,1
4.499452250,0,1,1,1,0,0,0,0,1,1,1,1,1,1
4.499452375,1,1,1,1,0,0,0,0,1,1,1,1,1,1
4.499452437,0,1,1,1,0,0,0,0,1,1,1,1,1,1
4.499452625,0,1,1,0,0,0,0,0,1,1,1,1,1,1
4.499453812,0,1,0,0,0,0,0,0,1,1,1,1,1,1
4.499454437,0,0,0,0,0,0,0,0,1,1,1,1,1,1
4.499468875,0,0,0,0,0,0,0,0,0,1,1,1,0,1
4.499468937,0,0,0,0,0,0,0,0,1,1,1,1,1,1
4.499469813,0,0,0,0,0,0,0,0,0,1,1,1,0,1
4.499469875,0,0,0,0,0,0,0,0,1,1,1,1,1,1
4.499470500,0,0,0,0,0,0,0,0,1,0,1,1,1,0
4.499470562,0,0,0,0,0,0,0,0,1,1,1,1,1,1
4.499470750,0,0,0,0,0,0,0,0,0,1,1,1,0,1
4.499470813,0,0,0,0,0,0,0,0,1,1,1,1,1,1
4.499471687,0,0,0,0,0,0,0,0,0,0,1,1,0,0
4.499471750,0,0,0,0,0,0,0,0,1,1,1,1,1,1
4.499471875,0,0,0,0,0,0,0,0,0,1,1,1,1,1
4.499472000,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4.499472062,0,0,0,0,0,0,0,0,0,1,1,1,1,1
4.499472188,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4.499472250,0,0,0,0,0,0,0,0,1,1,1,1,1,1
4.499472313,0,0,0,0,0,0,0,0,0,1,1,1,1,1
4.499472375,0,0,0,0,0,0,0,0,0,0,1,1,1,1
4.499472500,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4.499472563,0,0,0,0,0,0,0,0,0,0,1,1,0,1
4.499472625,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4.499472750,0,0,0,0,0,0,0,0,0,0,1,1,0,1
4.499472938,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4.499473000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.499473187,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4.499473250,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.499473313,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4.499473375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.499476250,0,0,0,0,0,0,0,0,1,1,1,1,1,1
4.499476312,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.499476375,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4.499476438,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.499479563,0,0,0,0,0,0,0,0,1,1,1,1,1,1
4.499479688,0,0,0,0,0,0,0,0,0,0,1,1,0,0
4.499479750,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.499485313,0,0,0,0,0,0,0,0,1,1,1,1,1,1
4.499485500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.499486000,0,0,0,0,0,0,0,0,0,0,0,1,1,1
4.499486062,0,0,0,0,0,0,0,0,1,1,1,1,1,1
4.499486125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.505055562,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4.505055625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.505098250,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4.505098313,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.505140875,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4.505141000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.505176562,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4.505176625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.505183500,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4.505183563,0,0,0,0,0,0,0,0,1,1,0,0,0,0
